geo_id,name,,,
1748,Bitoye,,,
1261,Blida,,,
299,Blue Nile,,,
300,Blue Nile,,,
1324,Bobo-Dioulasso (urban),,,
1103,Boforo,,,
1347,Boké Region,,,
162,Bokolmanyo Refugee Camp,,,
596,Bolivia (Plurinational State of) (country),,,
381,Bombe Bakari,,,
1159,Bombe Chateau,,,
1160,Bombe Pana,,,
1814,Bondo,,,
1813,Bondo &amp; Ango (villages),,,
1897,Boondhere,,,
1828,Borama,,,
1739,Border-crossing locations,,,
1286,Bordj Bou Arréridj,,,
355,Borgop,,,
1475,Borgou,,,
994,Borkou,,,
1603,Borno,,,
322,Boroli,,,
600,Bosnia and Herzegovina (country),,,
956,Bosobolo,,,
403,Bossangoa,,,
203,Bossaso,,,
1384,Bosso,,,
597,Botswana (country),,,
405,Bouar,,,
1161,Boubara,,,
1303,Boucle du Mouhoun,,,
1055,Bouenza,,,
1162,Bougogo,,,
1262,Bouira,,,
1385,Boulabrine,,,
1386,Boulagana,,,
1163,Boulembe,,,
1164,Bouli,,,
1287,Boumerdès,,,
493,Boyabu (Outside of camp),,,
492,Boyabu Refugee Camp,,,
1358,Brakna,,,
598,Brazil (country),,,
485,Brazzaville,,,
771,British Virgin Islands,,,
1550,Brong Ahafo,,,
599,Brunei Darussalam (country),,,
1887,Bu'aale,,,
1026,Bubanza,,,
1015,Bugesera,,,
1741,Bujumbura,,,
1027,Bujumbura Mairie,,,
1028,Bujumbura Rural,,,
1068,Bukavu,,,
857,Bukililo (way-station),,,
601,Bulgaria (country),,,
1859,Bulo Burto,,,
168,Buramino Refugee Camp,,,
247,Burbiey,,,
242,Burbiey Transit site,,,
1833,Burco,,,
594,Burkina Faso (country),,,
1849,Burtinle,,,
587,Burundi (country),,,
1029,Bururi,,,
1047,Butare,,,
1559,Butnan,,,
1834,Buuhoodle,,,
1873,Buur Hakaba,,,
1048,Bwagiriza,,,
914,Bwegera (Rural Area),,,
1457,Cabinda,,,
615,Cabo Verde (country),,,
216,Cabudwaaq,,,
1856,Cadaado,,,
1864,Cadale,,,
1499,Cairo,,,
1723,Calabria,,,
1845,Caluula,,,
603,Cambodia (country),,,
349,Cameroon (country),,,
1327,Camp de Sag-Nioniogo,,,
1724,Campania,,,
604,Canada (country),,,
1030,Cankuzo,,,
1585,Casablanca-Settat,,,
1304,Cascades,,,
605,Cayman Islands,,,
1838,Caynabo,,,
1842,Ceel Afweyn,,,
1877,Ceel Barde,,,
1857,Ceel Buur,,,
1858,Ceel Dheer,,,
1884,Ceel Waaq,,,
1841,Ceerigaabo,,,
1551,Central,,,
1076,Central,,,
1529,Central,,,
399,Central African Republic (country),,,
1484,Central District,,,
1707,Central Greece,,,
1708,Central Macedonia,,,
223,Central Region,,,
1544,Central River,,,
1305,Centre,,,
388,Centre,,,
1306,Centre-Est,,,
1307,Centre-Nord,,,
1308,Centre-Ouest,,,
1309,Centre-Sud,,,
1524,Centro Sur Province,,,
1750,Ceuta,,,
135,Ceylanpinar,,,
410,Chad (country),,,
990,Chari-Baguirmi,,,
1387,Chigoumar,,,
607,Chile (country),,,
1693,Chin State,,,
606,China (country),,,
1388,Chinegodrar (Ind. Reg.*),,,
1389,Chinwaren (Est.**),,,
1755,Chios,,,
1254,Chlef,,,
1485,Chobe District,,,
1425,Choua,,,
104,Chouf,,,
1031,Cibitoke,,,
1476,Collines,,,
612,Colombia (country),,,
1165,Colomine,,,
516,Comoe,,,
517,Comoe,,,
610,Comoros (country),,,
1348,Conakry Region,,,
476,Congo (Brazzaville) (country),,,
1277,Constantine,,,
611,Cook Islands,,,
1077,Copperbelt,,,
613,Costa Rica (country),,,
509,Cote d'Ivoire (country),,,
1709,Crete,,,
648,Croatia (country),,,
1604,Cross River,,,
